Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type
NCE42,21.1,Low Fat,Household
NCE43,12.5,Low Fat,Household
NCE54,20.7,Low Fat,Household
NCE55,8.92,Low Fat,Household
NCF06,6.235,Low Fat,Household
NCF07,9.0,Low Fat,Household
NCF18,18.35,Low Fat,Household
NCF19,13.0,Low Fat,Household
NCF30,17.0,Low Fat,Household
NCF31,9.13,Low Fat,Household
NCF42,17.35,Low Fat,Household
NCF43,8.51,Low Fat,Household
NCF54,18.0,Low Fat,Household
NCF55,6.675,Low Fat,Household
NCG06,16.35,Low Fat,Household
NCG07,12.3,Low Fat,Household
NCG18,15.3,Low Fat,Household
NCG19,20.25,Low Fat,Household
NCG30,20.2,Low Fat,Household
NCG42,19.2,Low Fat,Household
NCG43,20.2,Low Fat,Household
NCG54,12.1,Low Fat,Household
NCG55,16.25,Low Fat,Household
NCH06,12.3,Low Fat,Household
NCH07,13.15,Low Fat,Household
NCH18,9.3,Low Fat,Household
NCH29,5.51,Low Fat,Health and Hygiene
NCH30,17.1,Low Fat,Household
NCH42,6.86,Low Fat,Household
NCH43,8.42,Low Fat,Household
NCH54,13.5,Low Fat,Household
NCH55,16.35,Low Fat,Household
NCI06,11.3,Low Fat,Household
NCI17,8.645,Low Fat,Health and Hygiene
NCI18,18.35,Low Fat,Household
NCI29,8.6,Low Fat,Health and Hygiene
NCI30,20.25,Low Fat,Household
NCI31,20.0,Low Fat,Others
NCI42,18.75,Low Fat,Household
NCI43,19.85,Low Fat,Household
NCI54,15.2,Low Fat,Household
NCI55,18.6,Low Fat,Household
NCJ05,18.7,Low Fat,Health and Hygiene
NCJ06,20.1,Low Fat,Household
NCJ17,7.68,Low Fat,Health and Hygiene
NCJ18,12.35,Low Fat,Household
NCJ19,18.6,Low Fat,Others
NCJ29,10.6,Low Fat,Health and Hygiene
NCJ30,5.82,Low Fat,Household
NCJ31,19.2,Low Fat,Others
NCJ42,19.75,Low Fat,Household
NCJ43,6.635,Low Fat,Household
NCJ54,9.895,Low Fat,Household
NCK05,20.1,Low Fat,Health and Hygiene
NCK06,5.03,Low Fat,Household
NCK07,10.65,Low Fat,Others
NCK17,11.0,Low Fat,Health and Hygiene
NCK18,9.6,Low Fat,Household
NCK19,9.8,Low Fat,Others
NCK29,5.615,Low Fat,Health and Hygiene
NCK30,14.85,Low Fat,Household
NCK31,10.895,Low Fat,Others
NCK42,7.475,Low Fat,Household
NCK53,11.6,Low Fat,Health and Hygiene
NCK54,12.15,Low Fat,Household
NCL05,19.6,Low Fat,Health and Hygiene
NCL06,14.65,Low Fat,Household
NCL07,13.85,Low Fat,Others
NCL17,7.39,Low Fat,Health and Hygiene
NCL18,18.85,Low Fat,Household
NCL19,15.35,Low Fat,Others
NCL29,9.695,Low Fat,Health and Hygiene
NCL30,18.1,Low Fat,Household
NCL31,7.39,Low Fat,Others
NCL41,12.35,Low Fat,Health and Hygiene
NCL42,18.85,Low Fat,Household
NCL53,7.5,Low Fat,Health and Hygiene
NCL54,12.6,Low Fat,Household
NCL55,12.15,Low Fat,Others
NCM05,6.825,Low Fat,Health and Hygiene
NCM06,7.475,Low Fat,Household
NCM07,9.395,Low Fat,Others
NCM17,7.93,Low Fat,Health and Hygiene
NCM18,13.0,Low Fat,Household
NCM19,12.65,Low Fat,Others
NCM26,20.5,Low Fat,Others
NCM29,11.5,Low Fat,Health and Hygiene
NCM30,19.1,Low Fat,Household
NCM31,6.095,Low Fat,Others
NCM41,16.5,Low Fat,Health and Hygiene
NCM42,6.13,Low Fat,Household
NCM43,14.5,Low Fat,Others
NCM53,18.75,Low Fat,Health and Hygiene
NCM54,17.7,Low Fat,Household
NCM55,15.6,Low Fat,Others
NCN05,8.235,Low Fat,Health and Hygiene
NCN06,8.39,Low Fat,Household
NCN07,18.5,Low Fat,Others
NCN14,19.1,Low Fat,Others
NCN17,11.0,Low Fat,Health and Hygiene
NCN18,8.895,Low Fat,Household
NCN19,13.1,Low Fat,Others
NCN26,10.85,Low Fat,Household
NCN29,15.2,Low Fat,Health and Hygiene
NCN30,16.35,Low Fat,Household
NCN41,17.0,Low Fat,Health and Hygiene
NCN42,20.25,Low Fat,Household
NCN43,12.15,Low Fat,Others
NCN53,5.175,Low Fat,Health and Hygiene
NCN54,20.35,Low Fat,Household
NCN55,14.6,Low Fat,Others
NCO02,11.15,Low Fat,Others
NCO05,7.27,Low Fat,Health and Hygiene
NCO06,19.25,Low Fat,Household
NCO07,9.06,Low Fat,Others
NCO14,9.6,Low Fat,Household
NCO17,10.0,Low Fat,Health and Hygiene
NCO18,13.15,Low Fat,Household
NCO26,7.235,Low Fat,Household
NCO29,11.15,Low Fat,Health and Hygiene
NCO30,19.5,Low Fat,Household
NCO41,12.5,Low Fat,Health and Hygiene
NCO42,21.25,Low Fat,Household
NCO43,5.5,Low Fat,Others
NCO53,16.2,Low Fat,Health and Hygiene
NCO54,19.5,Low Fat,Household
NCO55,12.8,Low Fat,Others
NCP02,7.105,Low Fat,Household
NCP05,19.6,Low Fat,Health and Hygiene
NCP06,20.7,Low Fat,Household
NCP14,8.275,Low Fat,Household
NCP17,19.35,Low Fat,Health and Hygiene
NCP18,12.15,Low Fat,Household
NCP29,8.42,Low Fat,Health and Hygiene
NCP30,20.5,Low Fat,Household
NCP41,16.6,Low Fat,Health and Hygiene
NCP42,8.51,Low Fat,Household
NCP43,17.75,Low Fat,Others
NCP50,17.35,Low Fat,Others
NCP53,14.75,Low Fat,Health and Hygiene
NCP54,15.35,Low Fat,Household
NCP55,14.65,Low Fat,Others
NCQ02,12.6,Low Fat,Household
NCQ05,11.395,Low Fat,Health and Hygiene
NCQ06,13.0,Low Fat,Household
NCQ17,10.3,Low Fat,Health and Hygiene
NCQ18,15.75,Low Fat,Household
NCQ29,12.0,Low Fat,Health and Hygiene
NCQ30,7.725,Low Fat,Household
NCQ38,16.35,Low Fat,Others
NCQ41,14.8,Low Fat,Health and Hygiene
NCQ42,20.35,Low Fat,Household
NCQ43,17.75,Low Fat,Others
NCQ50,18.75,Low Fat,Household
NCQ53,17.6,Low Fat,Health and Hygiene
NCQ54,17.7,Low Fat,Household
NCR05,10.1,Low Fat,Health and Hygiene
NCR06,12.5,Low Fat,Household
NCR17,9.8,Low Fat,Health and Hygiene
NCR18,15.85,Low Fat,Household
NCR29,7.565,Low Fat,Health and Hygiene
NCR30,20.6,Low Fat,Household
NCR38,17.25,Low Fat,Household
NCR41,17.85,Low Fat,Health and Hygiene
NCR42,9.105,Low Fat,Household
NCR50,20.2,Low Fat,Household
NCR53,12.15,Low Fat,Health and Hygiene
NCR54,16.35,Low Fat,Household
NCS05,11.5,Low Fat,Health and Hygiene
NCS06,7.935,Low Fat,Household
NCS17,18.6,Low Fat,Health and Hygiene
NCS18,12.65,Low Fat,Household
NCS29,9.0,Low Fat,Health and Hygiene
NCS30,5.945,Low Fat,Household
NCS38,8.6,Low Fat,Household
NCS41,12.85,Low Fat,Health and Hygiene
NCS42,8.6,Low Fat,Household
NCS53,14.5,Low Fat,Health and Hygiene
NCS54,13.6,Low Fat,Household
NCT05,10.895,Low Fat,Health and Hygiene
NCT06,17.1,Low Fat,Household
NCT17,10.8,Low Fat,Health and Hygiene
NCT18,14.6,Low Fat,Household
NCT29,12.6,Low Fat,Health and Hygiene
NCT30,9.1,Low Fat,Household
NCT41,15.7,Low Fat,Health and Hygiene
NCT42,5.88,Low Fat,Household
NCT53,5.4,Low Fat,Health and Hygiene
NCT54,8.695,Low Fat,Household
NCU05,11.8,Low Fat,Health and Hygiene
NCU06,17.6,Low Fat,Household
NCU17,5.32,Low Fat,Health and Hygiene
NCU18,15.1,Low Fat,Household
NCU29,7.685,Low Fat,Health and Hygiene
NCU30,5.11,Low Fat,Household
NCU41,18.85,Low Fat,Health and Hygiene
NCU42,9.0,Low Fat,Household
NCU53,5.485,Low Fat,Health and Hygiene
NCU54,8.88,Low Fat,Household
NCV05,10.1,Low Fat,Health and Hygiene
NCV06,11.3,Low Fat,Household
NCV17,18.85,Low Fat,Health and Hygiene
NCV18,6.775,Low Fat,Household
NCV29,11.8,Low Fat,Health and Hygiene
NCV30,20.2,Low Fat,Household
NCV41,14.35,Low Fat,Health and Hygiene
NCV42,6.26,Low Fat,Household
NCV53,8.27,Low Fat,Health and Hygiene
NCV54,11.1,Low Fat,Household
NCW05,20.25,Low Fat,Health and Hygiene
NCW06,16.2,Low Fat,Household
NCW17,18.0,Low Fat,Health and Hygiene
NCW18,15.1,Low Fat,Household
NCW29,14.0,Low Fat,Health and Hygiene
NCW30,5.21,Low Fat,Household
NCW41,18.0,Low Fat,Health and Hygiene
NCW42,18.2,Low Fat,Household
NCW53,18.35,Low Fat,Health and Hygiene
NCW54,7.5,Low Fat,Household
NCX05,15.2,Low Fat,Health and Hygiene
NCX06,17.6,Low Fat,Household
NCX17,21.25,Low Fat,Health and Hygiene
NCX18,14.15,Low Fat,Household
NCX29,10.0,Low Fat,Health and Hygiene
NCX30,16.7,Low Fat,Household
NCX41,19.0,Low Fat,Health and Hygiene
NCX42,6.36,Low Fat,Household
NCX53,20.1,Low Fat,Health and Hygiene
NCX54,9.195,Low Fat,Household
NCY05,13.5,Low Fat,Health and Hygiene
NCY06,15.25,Low Fat,Household
NCY17,18.2,Low Fat,Health and Hygiene
NCY18,7.285,Low Fat,Household
NCY29,13.65,Low Fat,Health and Hygiene
NCY30,20.25,Low Fat,Household
NCY41,16.75,Low Fat,Health and Hygiene
NCY42,6.38,Low Fat,Household
NCY53,20.0,Low Fat,Health and Hygiene
NCY54,8.43,Low Fat,Household
NCZ05,8.485,Low Fat,Health and Hygiene
NCZ06,19.6,Low Fat,Household
NCZ17,12.15,Low Fat,Health and Hygiene
NCZ18,7.825,Low Fat,Household
NCZ29,15.0,Low Fat,Health and Hygiene
NCZ30,6.59,Low Fat,Household
NCZ41,19.85,Low Fat,Health and Hygiene
NCZ42,10.5,Low Fat,Household
NCZ53,9.6,Low Fat,Health and Hygiene
NCZ54,14.65,Low Fat,Household
